number,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
40,B07TMJ1R3X,"[5, 5]",5,"This tablet is great. I recently purchased the 9th gen when it was on sale. That tablet was a little sluggish but a good deal at $50. As soon as this one came out I traded in my 9th generation. I'm so glad I did. This tablet is so much snappier and smoother than the 9th generation Good upgrades on it. it's also a bit smaller not the screen size just the bevel around the screen. Screen is sharp and bright. I highly recommend this tablet especially when you put the Google play store on it. I use it for light web browsing, Facebook, Netflix, YouTube and a few other apps. Works great for me.","06 15, 2020",R19GGW3125JACS,Mark L.,Can't beat it for the money,1592150400
41,B07TMJ1R3X,"[0, 0]",1,"Update 3*** Do not expect phone quality glass. Mine has already scratched, despite a cover. It remains the Edsel of Kindles. So far Amazon hasn't published this review. Publish it or defend my criticisms.

It's cheap because it's cheap.

This from a big Amazon fan, quite disappointed in one of your products.

If you choose not to publish my review, please provide justification.

Update 2*** The Edsel of Kindles. This unit has a different connector than the standard mini USB. It is not compatible with your other charging cables.

Update: just received a second replacement. The audio remains feeble. I have reduced my review to two stars.***

I have had my Fire 8 (10th generation) for two days. I am terribly disappointing in the audio volume. If you are expecting ""Spinal Tap's"" 11, you are getting ""The Carpenter's"" 5. I have tried ""Amazon Music"" and I-Heart Radio.

This is my third Kindle. I never had an issue with the maximum audio volume (Note that my genre of choice is folk rock/alternative.). My current Samsung S6 at least doubles the audio volume. I called Amazon (Thank you for letting me talk to a human.). The representative said that it was the best the unit could offer.

The unit boast two speaker. It is a shame you can't turn them up.

I will go back to using my phone to listen to tunes as I read on my porch. If Amazon or anyone can offer a suggestion on improving the audio volume on the device, it will be welcomed.

Thanks.","05 06, 2021",R13VBIVWH0SAKN,Fitz,A non-compatable connector along with very disappointing audio volume,1620230400
42,B07TMJ1R3X,"[2, 2]",5,"I got this tablet for my elderly folks. I wanted something for them that it is easy to use. Also I wanted something that would let me communicate with them. I am surprised about the quality for the price. It was easy to set up and I had it ready to go in a few minutes.

I also liked the ability to make the font bigger. I was glad to be able to download some apps that I know they will enjoy from the AppStore. I still have to give it to them but I first wanted to learn to use it first and then teach them. I can see them enjoying the features fully and even reading books!

Overall I would recommend this tablet. Can’t beat the price for this quality tablet.","07 04, 2021",R3FE8S2IGQLJ35,Robert Rueda,Excellent! Great value.,1625328000
43,B07TMJ1R3X,"[2, 2]",2,"I love to read. Read all the time. Figured this would be a good way to have a library with me wherever I go. I LOVE the idea behind this but I regret not getting an iPad. The device randomly turns off and the only way to turn it back on is the plug it into the charger. It immediately pops back on and the battery is 96%. It is never dead when it does this. I was told to restore it to factory mode, I did. It was fine for a month or so. Only happened once and I thought it was a fluke. Now it does it all the time and my return window has now closed. I am devastated and incredibly irritated. My father in law recommended the kindle fire, but I have had nothing but problems. Please don’t waste your money. It isn’t worth the irritation.","04 17, 2021",RSXN0XQTM0XIG,Amazon Customer,Don’t waste your money!,1618588800
44,B07TMJ1R3X,"[0, 0]",3,"I've had my 2017 model for several years now and liked it. So I decided to upgrade when I saw that there were deals on the 2020 version. I'm not so sure it was worth it. I currently own both of them and have had ample opportunity to compare them side by side. After several days of frustration have decided to vent my opinion in my review.

The new one has more memory to load apps and has a slightly faster processor so things run a little smoother. Those are good things, but there are many design changes which are not so nice.

The old one has the camera on the portrait side making it a little narrower and easier to handle, almost like holding a large phone, which is very nice for reading online books. The new one has the camera on the landscape side so the tablet is wider and unwieldy. You can't really figure out how to grip it and are almost forced to use a stand.

The screens have the same pixels but the 2020 version is darker and won't get as bright as the old one.

The 2017 sound quality was never great but the 2020 sound is even worse. It won't get as loud and sounds muffled, not nearly as crisp as the old one sounded.

However the most annoying thing to me are the power and volume buttons. On the 2017 model they projected out a nice distance so they were easy to feel, were silver colored so they were easy to see, and were spaced far apart so they were easy to find and not confuse between volume and power. On the 2020 version these buttons are reduced in height so you can't feel them, are now colored black so you can't see them, and are shoved closer together so you are not sure if you are on volume or power. You actually have to turn the tablet edge toward you to look at it so you can see which button you are pushing. This was clearly a design change for style with very little thought for functionality. To make it even worse the volume buttons have been programmed to switch position depending on the orientation of the tablet. If you are in landscape mode the top right button will be volume up. But if you turn the tablet to portrait mode the very same button becomes volume down! How silly is that? You never really know which way you are turning the volume until you see the volume tray pop up on the screen!

If this is your first tablet then this is not a bad one for the money. But if you are contemplating an upgrade move I would say that the annoyances outweigh the benefits. If Old Faithful is working fine I would say to forget about switching and just keep it.","02 01, 2022",R391Q53FFB1ETP,Tradewinnz,Not much improvement from 2017 model. Too many bad design changes.,1643644800
45,B07TMJ1R3X,"[0, 0]",5,"I bought my first Kindle Fire at an Office Depot in January of 2014. I got a 7.5 inch 3rd Generation Kindle Fire HD with 8 Gigabytes of storage. I had used computers for years, but I had never had any one on one time with a touch tablet. I spent $145.00 on that first tablet, and I liked it so much I hung on to it for over seven years. Every time I turn on my Kindle Fire I feel like a super spy. Did James Bond ever have a gadget that could do so much? Talk about convenient. With one tool I can catch up on all the latest news, read a New York Times Bestseller, watch the latest Hollywood Blockbuster, listen to all my favorite music, play video games, keep in touch with friends and family, write, take, edit and share photos, learn a new language (Thanks Duolingo!) and so much more. Best of all the Kindle Fire tablets are easily affordable. So what's not to love? I traded my 3rd Gen in for an 8 inch 10th Gen. This new device has front and rear cameras, and hands free Alexa, so it can do everything my old Kindle did and so much more. With the trade in I paid about half of what that first one cost, and this new device has 32 Gigabytes of storage and a Micro SD slot. So I am very happy with my Amazon Kindle Fire HD 8 10th generation. Great quality. Great value. 100% satisfaction! Thanks Amazon.","04 19, 2021",R2I1YI2FQMW0Y6,Kenneth G. Donnelly,Less expensive does not mean cheap!,1618761600
46,B07TMJ1R3X,"[2, 2]",5,"I have a ton of comics on comiXology and thought I would try the fire. I wanted something I could load my comics on that wasn’t at a iPad price point. I have a iPad Pro but it was so expensive I don’t like taking it out of the house. The fire I will take every place with no worry. I’ll just buy another if something happens. I Also knew going in it’s not like my iPad. I use to have a nook so I expected it to be like that. So much better than I expected and the price was great! I just wish I would have got the 64GB instead of 32GB but I still managed to get a ton of comics downloaded, Facebook, Instagram, a word search game and photos and I still have 7GB left. I think the only downside is it really didn’t come with 32GB because there are already apps you can’t remove loaded on so I think it was like 26GB if I’m not mistaken. Though I did enjoy shopping the store, buying books, and I even was able to connect my iPhone through a app and instantly sent 500 pics to the fire! Super user friendly. I already bought a protective case for it through Amazon that will come in a few days. Buy this! You can still even surf the internet on it!","11 29, 2020",R2G6HO4GM6F588,Kevin Keel,Better than I thought it would be! You need this!,1606579200
47,B07TMJ1R3X,"[5, 5]",5,"Bought this for my mom. So far she loves it. Great screen size and quality of picture. Easy and fast charging. Tons of memory space. Only problem was setup. Kinda frustrating to set up if you don't have an amazon prime account. Setup took way longer than i thought it would.

If this was helpful please shmash that button. Thankyou","03 28, 2021",R1OT4F8XEF43QE,Katy P. Katy P.,Gift for mom,1616860800
48,B07TMJ1R3X,"[0, 0]",5,"I am a fan. I have a 5th gen Fire 7. Bought 10th gen Fire HD 8. The 7 was a little slow, and still running v5 o/s.

The 8 is fast ENOUGH, and responsive ENOUGH.

Great for word games, lite browsing, Prime music, Prime video, and Prime shopping!

Screen control is good for reading ... You can set the blind to sepia or green, and there is a full complement of font setup choices.

It is an Amazon consumption machine, not a laptop replacement!

No apps for Zillow or Kasa or webmail. No alternative browser, tho Silk is ok. No Audacy, but TuneIn is there. No mainstream text, but you can use Skype. Does anyone use Skype in the USA?

There's plenty of tv ... Peacock, Pluto, CBS, Paramount, generally a full suite of tv. I guess Jeff had to cave here, in order to sell Fire STICK.

Spotify and Pandora are available too!

So, bottom line is that it WORKS and the price is low (especially when on sale).

Given the price, I won't have anxiety about taking it to the park or stuffing it in a backpack. And it's small enough to go anywhere.

Speakers are good ENOUGH, and you can hook into headphones jack or Bluetooth.

Cool factor, if you like Alexa, this device is a hands free echo, even if not in show mode. Don't want hands free Alexa, you can turn it off.

Screen is good. Touch is good. Memory is lite. Processor is adequate. Apps are limited. I'm not giving up my Surface Pro, but I definitely recommend the Fire HD8 for what it is.","02 15, 2022",R1OFOFRJEXB3B,Honestly Kevin,"Everyone should have one, but ...",1644854400
49,B07TMJ1R3X,"[2, 2]",1,"I had put this on my son's Christmas list as he was constantly using mine to check ebooks out of the library, and I figured it would be great for him to have one of his own. Well, unfortunately there are 2 types of accounts (Adult - which you are limited to the 2 on your household plan (my husband and I), and a child account. Do NOT be fooled by the ""teen"" account - that is for shopping only, and does not give them access to register devices. The child account is opened in Amazon Kids/Freetime. I think it would be great for a 5 year old who likes to watch YouTube videos, but it's way too childish for a teenager. (For example, I did register my son, and it was suggested he watch ""Daniel Tiger's Neighborhood""). I really wanted him to be able to have his own profile on the device, so he didn't have to see all of my books - but alas, that is not meant to be. He will have to use it under my profile with parental controls turned on. Do not purchase this if you want your older child to have their own profile - a lot of google searching and talking with Amazon Support has told me that this isn't possible.","12 27, 2020",R23BPR4TL76OJ,K. Hayden,No ability to set up a teen account,1608998400
0,B07TMJ1R3X,"[3, 3]",5,"{""videoWidth"":0,""videoUrl"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/9c4f181c-c4b2-43f3-b93a-092f28065f18/default.jobtemplate.hls.m3u8"",""clientPrefix"":""vse_reviews_desktop_rxbcyax9ubpx6_1652920295446"",""awaConfig"":{""useUpNextComponent"":false,""initialVideo"":""RXBCYAX9UBPX6"",""shouldPreload"":true,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off""},""isVideoImmersivePlayer"":false,""skipInitialFocus"":false,""disabledViewIds"":[""replayHint""],""customerId"":""0"",""containerId"":""vse_reviews_desktop_rxbcyax9ubpx6_1652920295446-player-d0053c3f-bb31-42ff-8982-293943d4c1c5"",""requestMetadata"":{""marketplaceId"":""ATVPDKIKX0DER"",""clientId"":""VSE-US"",""method"":""cr_inline_review"",""requestId"":""TA66GHYAAA1P5ENPCG9X"",""pageAsin"":"""",""sessionId"":""139-2747990-5185611""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-US"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""139-2747990-5185611"",""refMarkers"":""vse_reviews_desktop_RXBCYAX9UBPX6_1652920295446_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""TA66GHYAAA1P5ENPCG9X"",""customerId"":""0"",""sessionType"":1},""ospLinkCode"":"""",""languageCode"":""en"",""version"":"""",""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""isReactFactory"":false,""enableDelphiAttribution"":false,""shouldAutoplay"":false},""imageUrl"":""https://m.media-amazon.com/images/I/61Oq1-oSV1L._SY256._SY256.jpg"",""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off""},""needPlayerFactory"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":"""",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""139-2747990-5185611"",""refMarkers"":""vse_reviews_desktop_RXBCYAX9UBPX6_1652920295446_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""ATVPDKIKX0DER"",""isInternal"":false,""endpoint"":""https://unagi-na.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""TA66GHYAAA1P5ENPCG9X"",""customerId"":""0"",""sessionType"":1},""mimeType"":""application/x-mpegURL"",""isMobile"":false,""videoHeight"":0}
Video Player is loading.
Play Video
Play
Mute
Current Time 0:00
/
Duration 0:16
Loaded: 37.54%
0:00
Stream Type LIVE
Seek to live, currently behind liveLIVE
Remaining Time -0:16
1x
Playback Rate
Chapters
Chapters
Descriptions
descriptions off, selected
Captions
Captions off, selected
Audio Track
default, selected
Fullscreen
This is a modal window.
I love this tablet! Got it during Black Friday for only $44, and I don't regret it at all. It is super affordable, and many can own this tablet. I bought it so that I don't have to take my Macbook to the park for my personal bible studies. I now have something small and portable to take bible notes. After figuring out how to download Playstore, I fell more in love, and I am utilizing it for everything. Just purchased a wireless keyboard for it, and my case is coming this week. Can't wait! I am also able to now budget digital. Along with managing my Etsy orders. I could go on and on. Get your hands on one of these!","12 01, 2021",RXBCYAX9UBPX6,Amazon Customer Amazon Customer,Best Thing I've Bought This Year!,1638288000
1,B07TMJ1R3X,"[0, 0]",3,"If you want a Tablet to Watch Movies on in HD, this is an Awesome Product! So if you're into most things Amazon: Alexa, Amazon Prime, Amazon Music, Prime Video, Amazon Games, Amazon Photo, & Kindle on a Tablet, then I Highly Recommend This Budget-Friendly Tablet For You!

But I was looking for a Tablet to 📖 my Kindle 📚 on instead. I was hoping it had a similar Battery Life as my Kindle Paperwhite; I doesn't 😒. I appreciate being able to surf the Internet, & Access my Amazon Account thru it's App. But I'm not interested most of Apps that came Installed on the Tablet. Most Can't Be Uninstalled; & they eat up the Battery Charge Quickly! ☹️

So if you're looking for a Tablet to 📖 your Kindle 📚 on, That Isn't the Kindle App, but more like a Kindle Paperwhite, This Isn't What You Want! ⭐⭐�?,04 15", 2022",RKOMQT1A2TNXE,ELMorehead,This is a Good Tablet,1649952000
2,B07TMJ1R3X,"[0, 0]",2,"My 4th Fire, ordered on Prime Day, and the first one to have problems this soon. I have a LOT of Kindle books, but my Library keeps disappearing on the new device. Of course those books are in the cloud, but that does me no good if I can't access them on the device! When this happens, the last book I opened may show up, or may not. I try to access my collections, but only the uncollected books show up. Shutting the device down completely sometimes brings the library (and my collections) back, but that hasn't lasted. I've also de-/re-registered the device and reset to factory defaults, nothing sticks. Help through the chat has also insisted that I reboot my wifi (which was working just fine for my computer and phone), and all that does is... cut off the chat. In addition, syncing doesn't seem to work automatically (Whispersync IS turned on) and the spellcheck feature (used for notes on books) hasn't worked at all on this or my previous Kindle. I knew that the Kindle is not a good tablet, but it was always a great e-reader for me--but not this one.","08 17, 2021",R10D0K38Q2M6N5,Read4fun,Poor delivery of Kindle content,1629129600
3,B07TMJ1R3X,"[0, 0]",5,"This isn't a great tablet. That said, I paid $45 for this tablet. It was intended for my children, but honestly, I thought about keeping after using it for a day. It's easy to use. I was able to open up my e-reader and start reading on a larger screen than my phone. I can get on Disney+ or HBOMax and watch things. (again, on a larger screen than my phone) The battery life isn't super long, but it recharges fairly quickly using a USB-C charger. The screen isn't great, it feels like it's slightly dim (I do have a screen protector on it) even when the brightness is turned all the way up. I bought a case for it, so it can stand on it's own, and I guess be somewhat protected in case it's dropped. If I paid $100+ for this tablet, I would be giving this tablet a 2-star review, but as I paid $45, I really can't complain. It's a tablet and it can be useful and entertaining, even if it isn't a top-of-the-line tablet.","01 05, 2022",R2DDIAULCF4L1S,Bryan Ortiz,Easy to use Tablet,1641312000
4,B07TMJ1R3X,"[0, 0]",1,"I have the Fire 8 gen 10 which is what is selling now, but I purchased my in August 2020. I recently decided to read a few of the real books that I had and left the Fire unplugged for a few weeks. I knew the battery was drained so I charged it for a full day before starting it up. Well, now it won't turn on, just a black screen. After several calls to customer service I found out that you can't let the battery stay drained for that long or it won't turn back on....At all. Since the new battery is the same as the new fire, I opted to purchase a new one. Amazon offers a trade in program if you purchase a new Fire except mine isn't on the list BECAUSE IT'S TOO NEW!! There are lists of previous versions but because mine is the latest version, there is no trade in value. And customer service is perplexed when asked to escalate or ask a manager.","04 13, 2022",R2P8S645WC2JH5,Jeanette,crappy customer service,1649779200
5,B07TMJ1R3X,"[0, 0]",4,"Update 12/17/20:
Upgraded my review to four stars. I was contacted by Amazon’s device support and they were awesome at helping me fix my issues. The first rep I spoke to was a woman who was super nice and personable. She was able to help me get my book to download properly. She wasn’t able to figure out the game download issue however, so she transferred me to another rep to help. That second rep was able to help me out within 10 minutes. Now, my fire HD8 downloads all my books and games properly. I still left off one star as my tablet can still be a little glitchy, and sometimes response lags a little when I click on links, but otherwise it’s back to working like new. Kudos to Amazon’s customer support!

I traded my older generation HD8 for this newer one, which I regret. At first, this newer HD8 worked beautifully and I was very happy with it. Within just a couple of months however it’s become very glitchy, especially when it comes to downloading new books and games to it. You can see in my attached pictures that the tablet stays stuck on “downloading�?without actually downloading anything at all. It’s been stuck “preparing to download�?the Fishdom game for over two weeks. Restarting, and turning off and back on multiple times have not helped at all. It’s been stuck like this for two weeks. It also repeatedly tells me I am not connected to the internet even when I very clearly am. All other connected devices in my household have no issue.

For the games and books that are already downloaded, it works fine. The screen quality is very nice. The battery life is great for a kindle fire. Those are about the only good things I can say about this tablet. Buy at your own risk. You may get lucky and get one that works like it’s supposed to, but I definitely didn’t.","12 12, 2020",RE6LTA6UWRBP4,Mel P. Mel P.,"Very glitchy, not very happy",1607702400
6,B07TMJ1R3X,"[0, 0]",4,"Love the kid settings so that the kiddos don't get into videos or any other adult content they shouldn't. Great for them to read books on, there are soooo many books! Kid friendly videos and games too if your kids are into that. Mine weren't until they got this and just love to explore all the new things on it for them to do. Alexa doesn't seem to be working as I planned she would, maybe thats operator error on my part I'm not sure because the tablet would stay locked too and need a pass code to unlock that I thought I set up to keep the kiddos out of my account and other adult content but it instead locked my kids out of the tablet altogether. So now I somehow disabled the pass code but Alexa won't work now for the kids, I taught them how to call family members whenever and in case of an emergency by using Alexa but that isn't working now??? I'm frustrated and have given up trying to figure it out lol I at least got a great deal on this from QVC a couple months before christmas. I bought 2 of the 64GB, 1 went to my parents as well, they love it too! I would have liked to have gotten a screen protector with my bundle though rather than some other stuff that was included. Overall, I got a good deal and a good product.","02 17, 2022",R2S29NVG6UWWCL,lexi,Safer for the kiddos,1645027200
7,B07TMJ1R3X,"[0, 0]",4,"-This is a review for the new Fire HD 8 tablet

My Experience: I actually bought this for a family member of mine and wasn't meant for me, however the family member in question gave me the tablet back and I saw that someone else's account was already preloaded onto this tablet along with my own account. The tablet had a passcode of some sort that I couldn't figure out and I couldn't understand it since the tablet's language setting was set to French. Thankfully one factory reset later and I was able to setup my account and was able to use the tablet however I'm docking 1 star because of that, I'm tech savvy but I'm sure the average customer would have just returned the tablet and left a 1 star review on the product.

The tablet itself is fine really, I got it on sale for around $54.99 before tax and it's a solid tablet for the kids if you want them distracted. There's type-c this time around which is a major improvement in my opinion and it's about time they made the switch. You can get the google playstore loaded onto this tablet, might have to do a bit of research on that but it is possible and definitely worth it but the gaming experience won't all be there, I tried playing one of my games called Monster Super League and it was not running so great and I had to turn on low quality graphics and it was still chugging a bit and switching between characters was really slow. My younger brother plays Roblox on it and he hasn't really complained thus far, so all depends on the game. This tablet however is not meant for gaming, it's meant for being a versatile E-reader that can also play YouTube videos and play some light games on the side and at this price point it's really hard to complain and I can easily give this tablet a recommendation, especially if you manage to catch it on sale.

Positive:
+ Type-C charging
+ Very inexpensive
+ Very nice size
+ Viewing angles aren't that bad

Neutral:
| Can load the google playstore, however tinkering will be required
| plastic build quality all around

Negative:
- Already had another person's account preloaded onto the tablet
- Had to factory reset it in order to access the tablet at all

Recommended: Definitely a strong recommendation if you are looking for an inexpensive tablet that you can just hand off to your kids or just want something to enjoy your e-books on","11 11, 2020",RU1AETQ8DAIW3,SenseiPichu SenseiPichu,"Came with another account already on board, decent tablet for the price",1605024000
8,B07TMJ1R3X,"[0, 0]",4,"I bought an Amazon Fire HDX 7 when it was first released nearly a decade ago. It was a stellar Kindle edition with a great screen, a comfortable feel and a burgeoning reputation as the best reading tablet on the market. Given that track history, I took a chance and upgraded to a Fire HD 8 in late January 2021. My buy-in wa predicated on the fact that Amazon would provide a $15 trade-in credit on my near-mint condition HDX 7. Long story short: Amazon rejected the HDX 7 trade-in and charged me the additional $15. Worse, they sent me an ad-supported HD 8 when I clearly had placed a slightly more expensive non-ad edition in my online cart. it subsequently cost me an additional $15 to cancel the ads showing up on the Fire HD 8 home screen.

As for the Fire HD 8 unit itself, there's not much to be overjoyed about. The software is fine but it's still Amazon-based and does not play well, if at all, with Mac or Android devices. The requisite Silk browser is several generations behind Google's Chrome or Apple's Safari. The screen is clear but, really, it looks and feels like a step backward from the HDX 7 screen. Also, the overall design of the unit in one's hands is a bit clunky. I have yet to sit and read with the unit held in my hands for any period longer than 10 minutes; invariably I need to prop it up on a pillow or set it against something.

In this owner's opinion, the Fire HD 8 is a Ford not a Mercedes.","02 15, 2021",R1T8AVRDTOXWNW,Randi,Fire HD 8 is solid Amazon product but a long way from a standout,1613318400
9,B07TMJ1R3X,"[0, 0]",3,"PRO: It's portable and has decent battery life. I use it for art when referencing images and to stream the occasional movie.

CONS: I discovered to my dismay that all images opened in the default photo app only shows the image at a preview resolution, no matter the image size (WHY???). So I used a separate app and that allowed me to at least zoom in and see a crisp image with a tiny 1.8MB file size, but it takes a while to update. I don't know at what exact file size the device will decide it's too much and cap your image resolution. I tried 10MB-300MB lossless photos I had made. But when I zoomed in and waited for the screen to update, it still showed a very pixilated image. It could still be a limitation of the various apps I tried, but I find it troubling that in 2020-2021 the 8"" Fire HD out-of-the-box makes me feel like tech is falling backwards and I'm stuck in the 90's, looking at pixilated image after image. To display and zoom into a 10MB-100MB image shouldn't be an issue today.","09 22, 2021",R2Y9K33UQZJ35O,Llia O.,Great for entertainment. Not great at viewing images... in detail.,1632240000
10,B07TMJ1R3X,"[0, 0]",4,"...and for that price, this is an amazing product! I am not sure if I would feel the same if I had paid double but I think I still would have liked it. The only thing I don't like is that its a constantly running advertisement when you are not actively using an app. I set a background but the ads still play. Not sure if that is something I can turn off...could very well be an operator issue. ;) Other than that, it serves my 5 year old's needs just fine and at a great price! Those needs, in case you are wondering are: amazon prime, netflix, abc mouse, youtube, pbs kids. There are other apps, I am sure but those are the ones he uses most.","07 27, 2021",RILX2J9Z7GSWL,Christi,Got this on prime day for less than $45!,1627315200
11,B07TMJ1R3X,"[5, 5]",4,"Pocos dias de tenerla. Tiene un desempeño aceptable en todo: bateria, pantalla tactil y definición. Por el precio creo que es un producto de calidad. Me llamó mucho la atención el manos libres de Alexa, sin embargo solo funciona en inglés. No hay posibilidad de que Alexa entienda o responda en Español, a pesar de que la tablet puedes configurarla toda en español. Si no te interesa usar Alexa manos libres en esta tablet o controlar tus dispositivos inteligentes a traves de esta tablet, entonces no hay problema, pero me parece que deberian actualizar el software como lo han hecho para los echo dot y los fire stick tv.","08 20, 2020",R1S4S1EFO5GCRC,Melvin O.,Prático y cómodo,1597852800
12,B07TMJ1R3X,"[0, 0]",1,"The screen quality is terrible. The first one that I received I exchanged bc I thought something was wrong with it. No the screen is that way, it's not crisp and was doing weird things to my eyes. i thought maybe it was my vision but even with my glasses on it's not comfortable to look at. I also work on a laptop and my mobile phone all day long and those I dont have an issue with. It's definitely the screen. Both times Amazon makes it incredibly difficult to get an exchange or get your money back. I sent the 2nd one back and got the confirmation it was returned and received. Never got my refund until I made a call that took 35 minutes to resolve the issue. This happened for both returns. it's so easy to return another companies item but for Amazon they make it difficult. Will never buy another amazon fire tablet again. I'd be surprised if this review makes it through their filters.","01 12, 2022",R6WQT8LYGYPGJ,T. Mcnulty,This is actually kind of crap,1641916800
13,B07TMJ1R3X,"[0, 0]",3,"I knew what I was getting: an inexpensive tablet with a decent screen that I can read on. It's exactly what I was looking for but I've never seen a device more loaded down with advertising. The built in apps are all pretty terrible and there isn't a good way to get alternatives installed. The browser, in particular, leaves something to be desired and everything reminds you of things you can spend money on through Amazon. I'm pretty integrated with the Amazon brand just because prime is so convenient but despite getting exactly what I'm looking for in terms of a product, it's a little unsettling how much I feel like I have no privacy or freedom from advertising. I would certainly not hand the device to a child. I recommend this if you want a cheap tablet but be aware of what else you're getting.","05 15, 2022",R37TBSQARE36Y2,ZLMom,"Cheap and decent, but feels like it should pay me for how many ads there are",1652544000
14,B07TMJ1R3X,"[0, 0]",3,"I wanted a low-cost tablet exclusively for use streaming shows in the kitchen while cooking. This serves that purpose. I purchased the ad supported option due to the significant difference in price and after using would have returned it if I'd paid full price. I do not recommend paying the full price, as the ads really do not make a difference. The ads are brief and they do not disrupt anything. You just watch them when you unlock the screen. That said the tablet's audio is not very good; thankfully I already had external Bluetooth speakers. The picture and playback are decent enough but the other features are not great. The Alexa does not work very well with this tablet nor do voice commands in general. Since it's an Amazon product there are far fewer apps available than there would be with a non-Amazon device. That said, what I wanted was the cheapest tablet that I could buy new that could stream shows and play music, which this device can. In that sense I got exactly what I paid for.","02 06, 2022",R7GXG61REMU5V,Patrick,Get the version with ads it saves a lot of money,1644076800
15,B07TMJ1R3X,"[0, 0]",4,"I definitely cannot give 5 stars, because this is certainly not a perfect product but it is definitely a great deal. I bought it during the prime day deals so it was only $55 (for 32gb). I recommend waiting for a potential black Friday deal if you want this tablet.
The cons I have experienced so far is that that i ended up paying $65 out the door- I know there is tax but I wish they would be upfront with the electronic waste fee (no big deal). Then I realized there are ads popping up on my wake screen, so after some research I found out that at some point I ""agreed"" to that for a $15 discount??? (on my invoice it says (-$35) deal of the day, nothing else. SO now if I want to get rid of them I have to pay $15...just cuz. So far I've only seen it on the wake screen, but read they can pop up other places. Lastly, it most definitely needs a case, and the case amazon made for it is $30- half of what I paid for the actual device- that just annoys me. My son has the previous model with the kids case and that has worked really well for him, except he recently dropped it just right and shattered his screen- so get a screen cover too if this is for a child, or you plan on carry it around with you a lot. I have had a couple glitches here and there but nothing that wasn't easily remedied.
Pros- the price is amazing , even if it is annoying to pay so much more for accessories. It does everything it should. I like that it has the goodreads app, because I was already using that to help me find books to read. I thought books would be cheaper in digital form, they are still a little more than I want to spend- but I am happy to support authors instead of buying used books. I bought this so I can let my 3 year old play academic games and watch you tube on occasion (when I have to do her hair, cut fingernails, etc.) instead of doing that on my Iphone where she has erased things. And so I can use the e-reader, and have a spare portable device. For that, it is perfect. Small enough to be super portable, but big enough screen that we can stream movies, and she can easily play toddler games, and I don't have to worry about her deleting apps or calling people.","10 18, 2020",R1YRXQP09WFRCR,Amazon Customer,good deal,1602950400
16,B07TMJ1R3X,"[0, 0]",5,"I am a 72 year old retiree with little technical knowledge. The Fire HD 8 works great for me and my needs. It was fairly easy to set up and over the days with a little help from You Tube I was able to customize it for what I wanted. I did not need a tablet for heavy use with lots of bells and whistles. I like to sit on my screened in porch in the evenings and watch TV. It has an excellent connection with my Wi-Fi I never have any buffering or problems with connection. I downloaded Spectrum TV App, Hulu, Netflix, Amazon Prime and a local news App. I am able to watch my programs. The screen is crisp and clear and sound is good. I can also listen to music with it and I downloaded a book or two so I use kindle on it to read. It is a complete outdoor entertainment unit for me. I can check my e-mail too. I have added Whats App which allows me to Call and facetime my family and friends instead of using my cell phone small screen I now have a 8"" screen to make calls with others. The battery last up to two full days even with my heavy use I am very pleased with that. For the price it is a great buy when I wear it out I will get another.","05 20, 2021",R3V53RZT13WTW3,Lynn C. Overcash,Great Tablet for what I needed,1621440000
17,B07TMJ1R3X,"[0, 0]",4,"I've got a few of these for portability. For the price, they're good little units. Get a nice protective cover, and you're set. My biggest issue with these tablets is the useless bloatware that is preinstalled, and not easily removed. There are online videos to go into developer mode to go in and remove some of it, but that's a hassle. So why do they insist on forcing you to keep garbage on your homepage you'll never use? They just take up memory, cache, and clog your performance. Not only that junk, but the splash screen ADs and game clickbait when you power it on. C'mon Amazon, we're not all 7 years old. Allow us to uninstall (instead of just forcing stops, clearing cache, and turning off notifications), and I'd go 5 stars. I do like the HD clarity though. I can actually see the faces of fans in the stands during a ballgame. That's pretty good for a small screen.","01 20, 2022",R3MLNM2MOVZGJ5,Dave A.,Cut the bloatware Amazon,1642608000
